timestamp,funding_rate
1722470400000,0.0001
1722499200000,0.0001
1722528000000,0.0001
1722556800000,0.0001
1722585600000,0.0001
1722614400000,0.0001
1722643200000,0.0001
1722672000000,0.0001
1722700800000,0.0001
1722729600000,0.0001
1722758400000,0.0001
1722787200000,0.0001
1722816000000,0.0001
1722844800000,0.0001
1722873600000,0.0001
1722902400000,0.0001
1722931200000,0.0001
1722960000000,0.0001
1722988800000,0.0001
1723017600000,0.0001
1723046400000,0.0001
1723075200000,0.0001
1723104000000,0.0001
1723132800000,0.0001
1723161600000,0.0001
1723190400000,0.0001
1723219200000,0.0001
1723248000000,0.0001
1723276800000,0.0001
1723305600000,0.0001
1723334400000,0.0001
1723363200000,0.0001
1723392000000,0.0001
1723420800000,0.0001
1723449600000,0.0001
1723478400000,0.0001
1723507200000,0.0001
1723536000000,0.0001
1723564800000,0.0001
1723593600000,0.0001
1723622400000,0.0001
1723651200000,0.0001
1723680000000,0.0001
1723708800000,0.0001
1723737600000,0.0001
1723766400000,0.0001
1723795200000,0.0001
1723824000000,0.0001
1723852800000,0.0001
1723881600000,0.0001
1723910400000,0.0001
1723939200000,0.0001
1723968000000,0.0001
1723996800000,0.0001
1724025600000,0.0001
1724054400000,0.0001
1724083200000,0.0001
1724112000000,0.0001
1724140800000,0.0001
1724169600000,0.0001
1724198400000,0.0001
1724227200000,0.0001
1724256000000,0.0001
1724284800000,0.0001
1724313600000,0.0001
1724342400000,0.0001
1724371200000,0.0001
1724400000000,0.0001
1724428800000,0.0001
1724457600000,0.0001
1724486400000,0.0001
1724515200000,0.0001
1724544000000,0.0001
1724572800000,0.0001
1724601600000,0.0001
1724630400000,0.0001
1724659200000,0.0001
1724688000000,0.0001
1724716800000,0.0001
1724745600000,0.0001
1724774400000,0.0001
1724803200000,0.0001
1724832000000,0.0001
1724860800000,0.0001
1724889600000,0.0001
1724918400000,0.0001
1724947200000,0.0001
1724976000000,0.0001
1725004800000,0.0001
1725033600000,0.0001
1725062400000,0.0001
1725091200000,0.0001
1725120000000,0.0001
1725148800000,0.0001
1725177600000,0.0001
1725206400000,0.0001
1725235200000,0.0001
1725264000000,0.0001
1725292800000,0.0001
1725321600000,0.0001
1725350400000,0.0001
1725379200000,0.0001
1725408000000,0.0001
1725436800000,0.0001
1725465600000,0.0001
1725494400000,0.0001
1725523200000,0.0001
1725552000000,0.0001
1725580800000,0.0001
1725609600000,0.0001
1725638400000,0.0001
1725667200000,0.0001
1725696000000,0.0001
1725724800000,0.0001
1725753600000,0.0001
1725782400000,0.0001
1725811200000,0.0001
1725840000000,0.0001
1725868800000,0.0001
1725897600000,0.0001
1725926400000,0.0001
1725955200000,0.0001
1725984000000,0.0001
1726012800000,0.0001
1726041600000,0.0001
1726070400000,0.0001
1726099200000,0.0001
1726128000000,0.0001
1726156800000,0.0001
1726185600000,0.0001
1726214400000,0.0001
1726243200000,0.0001
1726272000000,0.0001
1726300800000,0.0001
1726329600000,0.0001
1726358400000,0.0001
1726387200000,0.0001
1726416000000,0.0001
1726444800000,0.0001
1726473600000,0.0001
1726502400000,0.0001
1726531200000,0.0001
1726560000000,0.0001
1726588800000,0.0001
1726617600000,0.0001
1726646400000,0.0001
1726675200000,0.0001
1726704000000,0.0001
1726732800000,0.0001
1726761600000,0.0001
1726790400000,0.0001
1726819200000,0.0001
